date,markets,active_markets,fills,pnl_usdc,start_equity,end_equity,return_pct,max_intraday_dd_pct,br2_late_favourite_load_pnl,br2_late_confirm_pnl,br2_high_skew_load_pnl,br2_convex_tail_pnl,br2_late_favourite_load_fills,br2_late_confirm_fills,br2_high_skew_load_fills,br2_convex_tail_fills
2026-05-09,288,0,0,0.00,10178.85,10178.85,0.0000,0.0000,0.00,0.00,0.00,0.00,0,0,0,0
2026-05-10,288,3,9,-2.72,10178.85,10176.13,-0.0268,1.2279,-124.19,113.29,8.33,-0.16,6,1,1,1
2026-05-11,288,4,4,-51.95,10176.13,10124.18,-0.5105,1.4722,8.27,-60.22,0.00,0.00,2,2,0,0
2026-05-12,288,4,8,-115.16,10124.18,10009.02,-1.1374,1.7799,-11.35,-49.95,-53.85,0.00,3,2,3,0
2026-05-13,288,7,9,5.46,10009.02,10014.48,0.0546,0.5968,15.27,28.72,-38.52,0.00,3,3,3,0
2026-05-14,288,10,13,89.93,10014.48,10104.41,0.8980,1.5471,163.32,-127.31,55.63,-1.71,6,2,4,1
2026-05-15,285,10,12,-420.81,10104.41,9683.60,-4.1646,4.3156,-211.83,-155.19,-53.79,0.00,5,2,5,0
2026-05-16,288,2,2,37.80,9683.60,9721.40,0.3903,0.0000,37.80,0.00,0.00,0.00,2,0,0,0
2026-05-17,288,2,4,-134.38,9721.40,9587.02,-1.3823,1.4073,1.34,-136.81,1.41,-0.33,1,1,1,1
2026-05-18,288,27,41,178.65,9587.02,9765.67,1.8635,4.3991,54.07,112.52,22.00,-9.93,18,9,10,4
2026-05-19,288,3,4,83.41,9765.67,9849.08,0.8541,0.0000,50.20,2.96,30.26,0.00,1,1,2,0
2026-05-20,288,7,11,141.13,9849.08,9990.21,1.4329,0.6166,87.89,40.63,17.64,-5.04,6,2,1,2
